"Source","Target","Weight"
19,54,36.4662608184369
19,56,113.864230320582
19,57,96.9241327518983
19,58,317.356243576499
19,66,226.783783839068
19,67,7.99927429896677
19,77,20.9373379125924
19,80,6.75034917369582
19,82,50.4205223009583
19,84,5.79107620631953
19,89,266.812169216322
19,105,74.1024775172513
19,108,9.5635272771458
19,109,8.50785671208567
19,142,4.27217287218411
20,21,253.607094825129
20,53,36.7805183631555
20,60,317.356243576499
20,74,148.620673958801
20,124,317.356243576499
20,158,317.356243576499
20,174,317.356243576499
21,24,190.772083383637
21,25,245.762423001385
21,26,22.7497045932986
21,27,124.051013353607
21,28,35.7220340812557
21,29,9.31787124618938
21,33,317.356243576499
21,34,317.356243576499
21,35,317.356243576499
21,38,28.0607751616811
21,45,317.356243576499
21,50,317.356243576499
21,53,78.9531069742649
21,54,15.7230660346567
21,55,143.094714532298
21,67,4.28053762045246
21,68,4.15752369428331
21,69,317.356243576499
21,70,134.547357535488
21,71,91.1841924264073
21,74,317.356243576499
21,87,81.266273679233
21,94,21.1529775878303
21,95,135.723777402436
21,121,220.090684706321
21,124,156.360810984706
21,139,37.9697402753572
21,145,12.0857200287784
21,156,42.6429504636245
21,157,317.356243576499
21,158,317.356243576499
21,159,18.9195996015921
21,160,3.60493923598655
21,164,4.71533368210974
21,170,195.918242003899
22,31,80.5563250662929
22,32,317.356243576499
22,33,4.92062305482006
22,34,4.92062305482006
22,52,317.356243576499
22,59,277.275528335279
22,61,317.356243576499
22,64,249.168217530941
22,91,316.907337749999
22,92,62.0896609612936
22,104,9.83884213212699
22,108,15.5208847592159
23,24,67.3713961132007
23,27,317.356243576499
23,36,43.9609947238433
23,53,48.7909806098991
23,67,247.04655968365
23,69,27.3437676113431
23,76,317.356243576499
23,81,317.356243576499
23,101,25.1469498276499
23,103,36.5739162971149
23,109,38.700581762119
23,124,27.4091391015112
23,150,12.5635518918711
23,154,317.356243576499
23,158,36.914422780171
23,169,317.356243576499
23,170,51.0394363624009
23,171,43.8658114627701
24,28,2.3908711880491
24,35,22.2247447551381
24,36,246.489712849523
24,37,11.0484333477216
24,43,21.5122271067815
24,45,129.05994598821
24,50,35.4328249201754
24,53,14.5660310859517
24,54,317.356243576499
24,55,205.672822346951
24,56,133.602061636198
24,57,60.4598464656327
24,58,102.809374989794
24,67,73.7691911728708
24,69,203.93850101646
24,70,19.22139107368
24,71,18.211491598519
24,74,15.009403781615
24,76,79.6690369872647
24,80,64.6580527577661
24,81,2.2678968837182
24,84,86.154506355129
24,95,3.03794752696945
24,97,7.70583877588935
24,101,86.9466175432497
24,103,30.9377196605621
24,105,3.10448459832191
24,109,23.1558754511289
24,121,6.32793415275584
24,123,37.170257869662
24,140,18.8736775658616
24,154,20.1676272212448
24,157,4.15968067252046
24,158,317.356243576499
24,169,79.251754528243
24,170,317.356243576499
24,171,246.290214196361
25,26,64.8640386685659
25,28,317.356243576499
25,41,12.496365357378
25,47,4.20645429130089
25,49,53.6546785075096
25,50,317.356243576499
25,55,9.39126254141972
25,56,27.6729478778198
25,68,56.025243690794
25,69,317.356243576499
25,70,39.6221080283904
25,71,12.6895162474583
25,72,4.30271907215822
25,74,6.49708014058906
25,78,6.52376686752378
25,79,6.52376686752378
25,80,3.61066830474501
25,84,5.7232687234725
25,85,24.1381716760861
25,98,2.58161738644607
25,99,66.4849330300421
25,105,6.22888278889449
25,113,317.356243576499
25,121,317.356243576499
25,122,38.8402484838173
25,125,15.8920942502107
25,133,43.2733180782489
25,145,70.6038598469983
25,156,23.6243069672287
25,157,317.356243576499
26,28,136.770083500795
26,45,214.080480949936
26,49,2.5868665281338
26,54,9.52984484360379
26,56,4.89596084060177
26,68,8.97814864953006
26,69,317.356243576499
26,70,20.7007684508746
26,71,5.51077487494924
26,74,2.08946776192087
26,85,17.2078498315581
26,87,129.050832579195
26,109,17.2131310044458
26,113,19.7120249211019
26,121,31.0750634201306
26,133,245.186829783205
26,157,317.356243576499
26,158,29.0269714519868
27,33,317.356243576499
27,34,317.356243576499
27,35,20.942058082195
27,53,286.734109339391
27,63,77.4873840601332
27,76,317.356243576499
